isim,lat,lon
9. Yurt Kantini,39.8879191,32.7904532
Kocatepe Kahve Evi,39.8897868,32.7906368
Coffee 101,39.8926327,32.7884385
Teras Cafe,39.8926245,32.788149
Coffee Break,39.8918125,32.7888813
Mado,39.8915495,32.8733844
Kahve Ateşi,39.8939459,32.8768552
Kahve Dünyası,39.8941887,32.877169
Cafe Bıyık,39.8962178,32.8796768
May,39.872799,32.8600001
Simit Tuna Cafe,39.8725705,32.8601852
Meşhur Van Kahvaltısı,39.8709926,32.8589487
Simitcii,39.8680694,32.8569853
Ankara Simitçisi,39.9231245,32.8549042
Hicaz Pastanesi,39.9235845,32.8568041
Simit Dünyası,39.9224626,32.8509483
Mado,39.8480062,32.8336042
Özsüt,39.8960625,32.8126884
Mado,39.847534,32.8563049
Güllüoğlu,39.8854052,32.8551628
Tchibo,39.8759701,32.8702273
Özsüt,39.8759783,32.8705545
Kahve Dünyası,39.8759638,32.8698706
Fameo Express,39.8713113,32.7498922
Tchibo,39.9096108,32.7784502
Gloria Jean's,39.9096108,32.7781632
Starbucks,39.9096169,32.7778923
Mado,39.9095058,32.7754783
Demlik,39.9092384,32.7755266
Starbucks,39.9089462,32.7756017
Zeynel,39.9497308,32.8312925
Zeynel,39.9497431,32.8317726
Starbucks,39.9497411,32.8321186
Jaffa Coffee Co.,39.9073277,32.8611672
Farabi Sahnesi,39.8962202,32.8591748
Starbucks,39.8992149,32.8626441
Mado,39.9825748,32.689106
Varuna Gezgin,39.9216323,32.8288633
Varuna Gezgin,39.9039723,32.8623044
Linsa Gıda,39.9102319,32.8190289
Mado,39.9863863,32.6470778
Muse,39.8650564,32.8594971
Çıtır Simit,39.8769303,32.8820665
Karikatür Bi Kafe Eryaman,39.981549,32.6476062
Paşam Simit Cafe,39.9367694,32.8984118
C'viz,39.9864465,32.6466206
Globica,39.8924144,32.8748551
Kolej-IN,39.8236185,32.7760709
Cakes & Bakes Freshly Baked,40.11457,32.9913962
Cakes&Bakes,40.1146892,32.9907957
Rutil Kafe,39.8966378,32.7755038
Süvari Kahvesi,39.9695652,32.7179879
ROR caffee and roestery,39.922096,32.8254192
Arabica,39.9320289,32.8255082
Arabica Kahve Evi,39.9243744,32.8258074
Kahveci Efendi,39.8731271,32.6888212
Trend Kafe,39.896311,32.7014503
Tual pastanesi,39.8681329,32.821418
Mado,39.8822655,32.6854571
Timboo Kafe,39.8824511,32.6858424
