isim,lat,lon
Coffy,39.9225193,32.8557832
Arabica,39.8940953,32.8056676
Coffy,39.9185351,32.82743
Coffee de Madrid Elvankent,39.9499976,32.611388
Harper's Coffee,39.9721608,32.8185449
Bi Kahve Atölyesi,39.8972066,32.8485205
Coffee & Study,39.9495942,32.6112114
Kafeterya,39.8937215,32.7839564
Mug Kafe,39.9192618,32.797082
Mabel Engelesiz Cafe,39.9268292,32.9024729
Root Cafe,39.9908935,32.6453001
